state,state_fips,district,district_num,incumbent,flip,favored,confidence,nom_R,nom_D,nom_I
AK,02,AK-SD-A,00A,False,False,Election,No,False,False,False
AK,02,AK-SD-B,00B,False,False,R,Likely,TBA,False,"Marna Sanford, Evan Eads"
AK,02,AK-SD-C,00C,False,False,Election,No,False,False,False
AK,02,AK-SD-D,00D,False,False,R,Safe,TBA,False,"Dan Mayfield, Thomas Lamb"
AK,02,AK-SD-E,00E,False,False,Election,No,False,False,False
AK,02,AK-SD-F,00F,R,False,R,Safe,Shelley Hughes,False,"Gavin Christiansen, Allan Riordan-Randall, Stephany Jeffers"
AK,02,AK-SD-G,00G,False,False,Election,No,False,False,False
AK,02,AK-SD-H,00H,D,False,D,Safe,Madeline Gaiser,Bill Wielechowski,False
AK,02,AK-SD-I,00I,False,False,Election,No,False,False,False
AK,02,AK-SD-J,00J,D,False,D,Uncontested,False,Tom Begich,False
AK,02,AK-SD-K,00K,False,False,Election,No,False,False,False
AK,02,AK-SD-L,00L,False,False,R,Lean,TBA,Roselynn Cacy,Jeff Landfield
AK,02,AK-SD-M,00M,False,False,R,Safe,TBA,TBA,Andy Holleman
AK,02,AK-SD-N,00N,False,False,R,Lean,TBA,TBA,Care Clift
AK,02,AK-SD-O,00O,False,False,Election,No,False,False,False
AK,02,AK-SD-P,00P,False,False,R,Safe,TBA,False,Greg Madden
AK,02,AK-SD-Q,00Q,False,False,Election,No,False,False,False
AK,02,AK-SD-R,00R,False,False,R,Uncontested,TBA,False,False
AK,02,AK-SD-S,00S,False,False,Election,No,False,False,False
AK,02,AK-SD-T,00T,D,False,D,Safe,TBA,Donny Olson,False
AZ,04,AZ-SD-1,001,R,False,R,Uncontested,Karen Fann,False,False
AZ,04,AZ-SD-2,002,False,False,D,Safe,Mark Workman,Rosanna Gabaldón,False
AZ,04,AZ-SD-3,003,D,False,D,Uncontested,False,Sally Ann Gonzales,False
AZ,04,AZ-SD-4,004,D,False,D,Safe,Travis Angry,Lisa Otondo,False
AZ,04,AZ-SD-5,005,R,False,R,Uncontested,Sonny Borrelli,False,False
AZ,04,AZ-SD-6,006,False,False,R,Lean,TBA,Feclia French,False
AZ,04,AZ-SD-7,007,D,False,D,Uncontested,False,Jamescita Mae Peshlakai,False
AZ,04,AZ-SD-8,008,False,False,R,Safe,T.J. Shope,Barbara McGuire,False
AZ,04,AZ-SD-9,009,D,False,D,Uncontested,False,Victoria Steele,False
AZ,04,AZ-SD-10,010,False,False,D,Likely,Justine Wadsack,Kirsten Engel,False
AZ,04,AZ-SD-11,011,R,False,R,Safe,Vince Leach,TBA,False
AZ,04,AZ-SD-12,012,False,False,R,Safe,Warren Peterson,Lynsey Robinson,False
AZ,04,AZ-SD-13,013,R,False,R,Uncontested,Sine Kerr,False,False
AZ,04,AZ-SD-14,014,R,False,R,Safe,David Gowan,Bob Karp,False
AZ,04,AZ-SD-15,015,False,False,R,Uncontested,TBA,False,False
AZ,04,AZ-SD-16,016,R,False,R,Uncontested,Kelly Townsend,False,False
AZ,04,AZ-SD-17,017,R,False,R,Tilt,J.D. Mesnard,A.J. Kurdoglu,False
AZ,04,AZ-SD-18,018,False,False,D,Likely,Suzanne Sharer,Sean Bowie,False
AZ,04,AZ-SD-19,019,D,False,D,Uncontested,False,Lupe Chavira Contreras,False
AZ,04,AZ-SD-20,020,R,False,R,Tilt,Paul Boyer,Douglas Ervin,False
AZ,04,AZ-SD-21,021,False,False,R,Lean,Rick Gray,Brian Whitman,False
AZ,04,AZ-SD-22,022,False,False,R,Safe,TBA,Sarah Tyree,False
AZ,04,AZ-SD-23,023,False,False,R,Safe,TBA,Seth Blattman,False
AZ,04,AZ-SD-24,024,False,False,D,Uncontested,False,TBA,False
AZ,04,AZ-SD-25,025,R,False,R,Safe,Tyler Pace,Paul Weigel,False
AZ,04,AZ-SD-26,026,False,False,D,Safe,Jae Chin,TBA,False
AZ,04,AZ-SD-27,027,D,False,D,Safe,Garland Shreves,Rebecca Rios,False
AZ,04,AZ-SD-28,028,R,False,False,Toss-Up,Kate Brophy McGee,Christine Marsh,False
AZ,04,AZ-SD-29,029,D,False,D,Safe,John Wilson,Martín Quezada,False
AZ,04,AZ-SD-30,030,D,False,D,Uncontested,False,Tony Navarrete,False
AR,05,AR-SD-1,001,False,False,R,Safe,Bart Hester,Ronetta Francis,False
AR,05,AR-SD-2,002,R,False,R,Safe,Jim Hendren,Ryan Craig,False
AR,05,AR-SD-3,003,False,False,Election,No,False,False,False
AR,05,AR-SD-4,004,False,False,Election,No,False,False,False
AR,05,AR-SD-5,005,False,False,Election,No,False,False,False
AR,05,AR-SD-6,006,False,False,Election,No,False,False,False
AR,05,AR-SD-7,007,R,False,R,Uncontested,Lance Eads,False,False
AR,05,AR-SD-8,008,False,False,Election,No,False,False,False
AR,05,AR-SD-9,009,False,False,Election,No,False,False,False
AR,05,AR-SD-10,010,False,False,Election,No,False,False,False
AR,05,AR-SD-11,011,R,False,R,Uncontested,Jimmy Hickey,False,False
AR,05,AR-SD-12,012,D,False,False,Toss-Up,Charles Beckham,Bruce Maloch,False
AR,05,AR-SD-13,013,False,False,R,Safe,TBA,Brandon Overly,False
AR,05,AR-SD-14,014,False,False,Election,No,False,False,False
AR,05,AR-SD-15,015,False,False,Election,No,False,False,False
AR,05,AR-SD-16,016,R,False,R,Uncontested,Breanne Davis,False,False
AR,05,AR-SD-17,017,False,False,Election,No,False,False,False
AR,05,AR-SD-18,018,False,False,Election,No,False,False,False
AR,05,AR-SD-19,019,False,False,Election,No,False,False,False
AR,05,AR-SD-20,020,False,False,Election,No,False,False,False
AR,05,AR-SD-21,021,R,False,R,Uncontested,Alan Clark,False,False
AR,05,AR-SD-22,022,R,False,R,Uncontested,Dave Wallace,False,False
AR,05,AR-SD-23,023,R,False,R,Uncontested,Ronald Caldwell,False,False
AR,05,AR-SD-24,024,False,False,Election,No,False,False,False
AR,05,AR-SD-25,025,D,False,D,Uncontested,False,Stephanie Flowers,False
AR,05,AR-SD-26,026,D,True,R,Likely,Ben Gilmore,Eddie Cheatham,False
AR,05,AR-SD-27,027,R,False,R,Safe,Trent Garner,TBA,False
AR,05,AR-SD-28,028,R,False,R,Uncontested,Jonathan Dismang,False,False
AR,05,AR-SD-29,029,R,False,R,Uncontested,Ricky Hill,False,False
AR,05,AR-SD-30,030,False,False,Election,No,False,False,False
AR,05,AR-SD-31,031,False,False,Election,No,False,False,False
AR,05,AR-SD-32,032,False,False,D,Safe,Bob Thomas,Clarke Tucker,False
AR,05,AR-SD-33,033,False,False,Election,No,False,False,False
AR,05,AR-SD-34,034,R,False,R,Lean,Jane English,Alisa Blaize Dixon,False
AR,05,AR-SD-35,035,False,False,Election,No,False,False,False
CA,06,CA-SD-1,001,R,False,R,Safe,Brian Dahle,Pamela Swartz,False
CA,06,CA-SD-2,002,False,False,Election,No,False,False,False
CA,06,CA-SD-3,003,D,False,D,Uncontested,False,Bill Dodd,False
CA,06,CA-SD-4,004,False,False,Election,No,False,False,False
CA,06,CA-SD-5,005,False,False,D,Safe,Jim Ridenour,Susan Talamantes Eggman,False
CA,06,CA-SD-6,006,False,False,Election,No,False,False,False
CA,06,CA-SD-7,007,D,False,D,Safe,Julie Mobley,Steve Glazer,False
CA,06,CA-SD-8,008,False,False,Election,No,False,False,False
CA,06,CA-SD-9,009,D,False,D,Uncontested,False,Nancy Skinner,False
CA,06,CA-SD-10,010,False,False,Election,No,False,False,False
